Position,"Track Name",Artist,Streams,URL
55,"Don't Go Yet","Camila Cabello",1309030,https://open.spotify.com/track/1058fW9H3fZA6QjYCdOBad
56,Cúrame,"Rauw Alejandro",1303330,https://open.spotify.com/track/3PwRuzdphgedcWVUOVYJ7I
57,Sobrio,Maluma,1301606,https://open.spotify.com/track/4HzqWEdAbzcVFDv0pvxV4w
58,"Volando - Remix",Mora,1294484,https://open.spotify.com/track/0G2zPzWqVjR68iNPmx2TBe
59,"Get Into It (Yuh)","Doja Cat",1284604,https://open.spotify.com/track/0W6I02J9xcqK8MtSeosEXb
60,"Praise God","Kanye West",1284076,https://open.spotify.com/track/0WSEq9Ko4kFPt8yo3ICd6T
61,"Ley Seca","Jhay Cortez",1283306,https://open.spotify.com/track/3JCaq3KDSROg3TXhdiDa9n
62,Bored,"Billie Eilish",1283198,https://open.spotify.com/track/04sN26COy28wTXYj3dMoiZ
63,"SG (with Ozuna, Megan Thee Stallion & LISA of BLACKPINK)","DJ Snake",1278183,https://open.spotify.com/track/6IPNp9PfaEqrzotY47TIWy
64,Toxic,BoyWithUke,1258628,https://open.spotify.com/track/2kaNmAbqrtOf7Rdr3fnCWl
65,2055,"Sleepy Hallow",1258014,https://open.spotify.com/track/4XvcHTUfIlWfyJTRG0aqlo
66,DÁKITI,"Bad Bunny",1226655,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
67,"deja vu","Olivia Rodrigo",1220897,https://open.spotify.com/track/6HU7h9RYOaPRFeh0R3UeAr
68,"The Feels",TWICE,1218383,https://open.spotify.com/track/6pgqZ7Iw4LfHlfgWWaRFSY
69,"Leave The Door Open","Bruno Mars",1200561,https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh
70,"Someone You Loved","Lewis Capaldi",1186328,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
71,LALISA,LISA,1184562,https://open.spotify.com/track/7uQZVznj0uQOGC9KhV2Mg6
72,"Love In The Dark",Adele,1160135,https://open.spotify.com/track/0DuWDLjriRPjDRoPgaCslY
73,"Dark Red","Steve Lacy",1154203,https://open.spotify.com/track/37y7iDayfwm3WXn5BiAoRk
74,"Happier Than Ever - Edit","Billie Eilish",1148601,https://open.spotify.com/track/32BeYxKPrig1LefHsC0Xuo
75,Dynamite,BTS,1145443,https://open.spotify.com/track/4saklk6nie3yiGePpBwUoc
