,id,musicMeta.musicId,musicMeta.musicName,musicMeta.musicAuthor,musicMeta.playUrl,webVideoUrl,diggCount,shareCount,playCount,commentCount
23,7007564729979800833,7007073788295415809,My Universe,Coldplay x BTS,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/869ad2f1639242309bfaa9e00f7b79ea,https://www.tiktok.com/@bts_official_bighit/video/7007564729979800833,6100000,289300,25200000,214100
24,7016363797229096194,7016363744590678786,оригинальный звук,TIMONTYE✅,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7016363754522692353.mp3,https://www.tiktok.com/@timontye/video/7016363797229096194,6100000,16000,29600000,12600
25,7023360084172410113,7016132138005220097,original sound - 온오빠 On Oppa,온오빠 On Oppa,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7016132052512705281.mp3,https://www.tiktok.com/@xoteam/video/7023360084172410113,6000000,26900,80500000,26800
26,7012995380799409414,6850502927358887937,水に流して,Édith Piaf,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/e99b4b860e7d481385fe7f1a4b5054e5,https://www.tiktok.com/@salt_hank/video/7012995380799409414,5600000,89100,57900000,29300
27,7017821574803754242,7017821519015332610,오리지널 사운드 - 원정맨 WonJeong,원정맨 WonJeong,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7017821527773350658.mp3,https://www.tiktok.com/@ox_zung/video/7017821574803754242,5400000,24600,58500000,34100
28,7006793707450158342,6630519207404505093,Nothing Breaks Like a Heart,Mark Ronson,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/dc41aed7123547488b57b0d7a12288f3,https://www.tiktok.com/@henryjimenezkerbox/video/7006793707450158342,5300000,20200,45400000,23100
29,7015266940507704582,7006611502992050971,Are you ok?,龙|•Aѕтяσ乙 🇰🇭,https://sf16-ies-music.tiktokcdn.com/obj/ies-music-aiso/7006611455105600283.mp3,https://www.tiktok.com/@mks.vision/video/7015266940507704582,5200000,28900,72700000,22600
30,7004563244719344902,6732536571318257666,Funny Song,Cavendish Music,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/b78a3538b01b4ddda8db32fa9a16b9b9,https://www.tiktok.com/@twowillowsmarketllc/video/7004563244719344902,5100000,226900,44600000,71900
31,7018693500556414213,6925104065584073474,Basbousa song,المايسترو محمد الشيخ,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/6925103980582324994.mp3,https://www.tiktok.com/@_ehiz/video/7018693500556414213,5100000,182700,45600000,95600
32,7015491707299007749,6655492047723563778,Perfect,Ed Sheeran,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/c71165dc54a8495ebb8799dc4384e5ae,https://www.tiktok.com/@genti599/video/7015491707299007749,5100000,49200,56600000,20700
33,7012354940987264262,7001860364333878043,nhạc nền - 👒SURRY 💛BẢO AN👒,🎀 𝑩𝑨̉𝑶 𝑨𝑵 🎀,https://sf16-ies-music.tiktokcdn.com/obj/ies-music-aiso/7001860344817732378.mp3,https://www.tiktok.com/@rubentuestaok/video/7012354940987264262,5000000,289600,104700000,42000
34,7018372866999618821,7014553444841294598,MARINA morvnmusic,MORVN,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7014553520154151686.mp3,https://www.tiktok.com/@arianny.tenorio/video/7018372866999618821,4800000,86600,57000000,18100
35,7019732797921185030,7003240091523074821,Linda,Tokischa & ROSALÍA,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/024b69093a29405cac33562f3e408486,https://www.tiktok.com/@rosalia/video/7019732797921185030,4800000,5369,54100000,8972
36,7023422216033406210,6982699806061873922,#FoodDance,Neffati Jayden,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/6990944079257406210.mp3,https://www.tiktok.com/@nickaufmann/video/7023422216033406210,4700000,4780,36400000,20500
37,6994553553557785861,6757453473618331650,Fake Capo,Karetta el Gucci,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/e66f39b1153747b7be932aa48c21c677,https://www.tiktok.com/@lucialulladonadio/video/6994553553557785861,4100000,59700,32000000,38400
